Date,Open,High,Low,Close,Adj Close,Volume,Turnover
10/9/2018,86053,86573,85433,86088,86088,666082000,14782313.09
10/10/2018,86084,86085,83679,83679,83679,538062300,11913449.23
10/11/2018,83700,84749,82607,82921,82921,534917400,12732704.56
10/15/2018,82922,84278,82922,83360,83360,493082600,11665915.08
10/16/2018,83420,85718,83420,85718,85718,496007800,11838941.91
10/17/2018,85714,86167,84944,85764,85764,500886600,12289181.28
10/18/2018,85760,85760,83846,83847,83847,421159600,9960607.47
10/19/2018,83845,84954,83667,84220,84220,386951900,8694080.07
10/22/2018,84222,85772,84222,85597,85597,399349200,9047329.61
10/23/2018,85595,85595,84032,85300,85300,452376700,10806341.88
10/24/2018,85302,85786,83035,83064,83064,482384600,11147092.69
10/25/2018,83124,84831,83124,84084,84084,553025200,13048900.35
10/26/2018,84084,85720,83497,85720,85720,667169500,16170465.3
10/29/2018,85728,88377,82783,83797,83797,797307100,19702001.23
10/30/2018,83802,86990,83802,86886,86886,675972300,16752688.82
10/31/2018,86889,88028,86213,87424,87424,607201200,14887983.38
11/1/2018,87428,89017,87094,88419,88419,606016766,15238719.1
11/5/2018,88418,89598,88347,89598,89598,476369100,11987073.3
11/6/2018,89587,89587,88066,88669,88669,449836600,11892832.59
11/7/2018,88676,89565,87541,87714,87714,450647200,11687080.21
11/8/2018,87719,88570,85620,85620,85620,546148600,13087486.8
11/9/2018,85620,86233,84030,85641,85641,496329400,12299628.72
11/12/2018,85644,86227,85009,85525,85525,364330000,8554012.03
11/13/2018,85531,85941,84071,84914,84914,454712600,11015083.2
11/14/2018,84898,85973,84267,85973,85973,576448800,13685650.12
11/16/2018,85975,88516,85975,88515,88515,534453500,12952742.68
11/19/2018,88472,88484,87047,87901,87901,375467400,9315832.66
11/21/2018,87896,87896,86254,87269,87269,426869000,10252731.96
11/22/2018,87269,87656,87222,87477,87477,231382900,5410914.79
11/23/2018,87479,87479,85763,86230,86230,424210900,10329241.68
11/26/2018,86237,87147,84905,85547,85547,477670000,11344283.89
11/27/2018,85547,88018,85377,87891,87891,512499300,11990261.13
11/28/2018,87891,89483,87153,89251,89251,545944000,13099117.45
11/29/2018,89145,89910,88475,89710,89710,438905600,10429854.58
11/30/2018,89709,90246,89258,89504,89504,694505400,16048774.93
12/3/2018,89511,91242,89429,89820,89820,611922200,14809660.22
12/4/2018,89820,90452,88041,88624,88624,503062600,12415477.43
12/5/2018,88644,89111,88449,89040,89040,287631700,6606167.19
12/6/2018,88933,88933,87025,88846,88846,450524900,10697879.08
12/7/2018,88849,89986,87907,88115,88115,461756100,11132388.68
12/10/2018,88115,88384,85915,85915,85915,421070600,9559975.36
12/11/2018,85918,87520,85583,86420,86420,452590300,10595276.76
12/12/2018,86420,87946,86420,86977,86977,515517800,11804076.72
12/13/2018,86979,87842,86856,87838,87838,377179400,8640979.88
12/14/2018,87838,88184,87106,87450,87450,366315100,8596644.59
12/17/2018,87448,87820,86328,86400,86400,396828600,9063986.58
12/18/2018,86400,87274,86400,86610,86610,422014200,9639329.67
12/19/2018,86617,88101,85674,85674,85674,583944400,13364394.05
12/20/2018,85678,86584,84756,85269,85269,628913200,12916322.26
12/21/2018,85269,86554,85134,85697,85697,630732100,14438973.82
12/26/2018,85684,85684,83892,85136,85136,345892400,7719373.96
12/27/2018,85141,85739,84876,85460,85460,393907800,8069103.48
12/28/2018,85469,88044,85469,87887,87887,376203100,9043744.35
1/2/2019,87887,91479,87536,91012,91012,578907100,14133446.34
1/3/2019,91011,91596,89922,91564,91564,625381600,17259738.3
1/4/2019,91577,92701,90824,91841,91841,558082700,13906503.93
1/7/2019,91845,92552,91288,91699,91699,473401900,12019691.08
1/8/2019,91699,92231,91064,92032,92032,467414500,11571286.22
1/9/2019,92033,93626,92028,93613,93613,533924900,13216607.51
1/10/2019,93599,93987,93050,93806,93806,506395500,11776432.54
1/11/2019,93806,93961,93359,93658,93658,551556400,11920603.94
1/14/2019,93645,94474,93335,94474,94474,464459000,10826141.38
1/15/2019,94474,94695,93402,94056,94056,501494200,11835564.79
1/16/2019,94057,94393,93687,94393,94393,438905200,10124645.35
1/17/2019,94393,95682,93950,95351,95351,509711000,12553774.4
1/18/2019,95386,96396,95386,96097,96097,503510600,12866504.02
1/21/2019,96093,96093,94863,96010,96010,280174200,7063981.65
1/22/2019,96008,96070,94662,95103,95103,438757700,10635343.97
1/23/2019,95116,96576,95116,96558,96558,520055700,11633501.98
