"","PriceCl","ClxBB","pnADX","ClxSAR","MACD","CCI","RSI","STO","OBV","AD","ClxVWAP5","ClxVWAP20","RotGer"
"710",15224,0.261910005759579,12.6538896596378,0.0580332787927463,0.800562394018114,90.8100694243438,54.4341482584742,-0.0948352453935462,-39.0765124481977,113.834431232989,-0.000896241832471331,0.00272125238868977,"1"
"711",15173,0.210822626361307,12.1576385873466,0.0471818843589338,1.03836263479106,57.7881469414809,53.7281436939644,-0.0512174643157003,-44.7840327371741,116.929671730361,-0.000939952359108452,0.00203598532074275,"0"
"712",15403,0.332114957199516,12.5890714829236,0.0563214637808913,1.2752357783109,104.14200343511,56.405549750097,0.0858522250209918,-38.9769309816997,117.39310750832,0.000518674123073061,0.00335809787513224,"0"
"713",14985,0.0422785559770899,12.3415379568811,0.0217010742427679,1.2691585860896,40.9877748720204,50.7967377219493,-0.127204030226699,-44.4432701904895,112.478060524923,-0.0016963214405233,0.000429363420985385,"0"
"714",14355,-0.359648372013536,-12.3534441931861,-0.082395806699054,1.11154822620446,-70.5886685109071,43.8900655121034,-0.450944131119909,-50.1127961795321,107.201245903879,-0.00474488996718834,-0.00385153898426517,"0"
"715",14401,-0.297614695061721,-12.5451801550358,-0.0794553822551777,0.776438363398514,-91.4227802199684,44.4689283362916,-0.134068214200867,-44.4364292822168,107.537165414751,-0.00326261070220954,-0.00326174958812443,"0"
"716",14571,-0.174159015379388,-12.5579896498217,-0.0652448928794127,0.368988191914004,-61.6736485471571,46.6064242476672,0.104776822646252,-38.8432577533106,111.619166272128,-0.00119767582942759,-0.00194995302383748,"0"
"717",14823,-0.0173951371238982,-11.9026568264887,-0.0457901262021255,-0.0824286636106093,-22.4915396046404,49.6244960002287,0.160590898260663,-33.171063945375,116.688350872811,0.00141983227852993,-0.000212535267799882,"0"
"718",14682,-0.112861678587651,11.4636755792235,-0.051718582826163,-0.531592907757224,-5.30690590794949,48.029511046241,-0.00714796283059232,-38.8471215200803,111.14712349717,0.000832037786806013,-0.00126562118786545,"0"
"719",14540,-0.217213483723183,-10.7388955559973,-0.0578774177268171,-0.883775883269575,-41.1438305336304,46.4507663807527,-0.101262806766737,-44.4421368749318,107.313173700202,-0.000450559540025312,-0.0023597089526768,"-1"
"720",14460,-0.287553794322585,-10.2603829601081,-0.0601666494627245,-1.2174369319793,-68.7348260048563,45.5647861954447,-0.0719561591613048,-50.0973413328589,104.72190434916,-0.00111245965010894,-0.00297962623290979,"-1"
"721",14308,-0.388470522946385,-10.1536891088188,-0.0672798494141797,-1.38785273621992,-88.8401693005697,43.8945250455095,-0.0914939242315931,-55.6408441785941,100.499192031999,-0.00184150266266149,-0.0040298450150275,"-1"
"722",14391,-0.31991350989132,-10.3016185003121,-0.0591827108612255,-1.465058099983,-101.193090323525,45.0494425111182,0.0360144633554221,-50.0107440093,104.636957234181,-0.00061754873951632,-0.00339236545976974,"-1"
"723",14560,-0.20372979094503,-9.80088222592888,-0.0438878161040708,-1.45281048701283,-64.421048070882,47.3658309478113,0.11770716307169,-44.4356879627134,106.854566889123,0.000779980786441671,-0.00214638123147237,"-1"
"724",14555,-0.20205895244243,-9.2801820486454,-0.0401911757802776,-1.57426911335562,-55.7512797350199,47.3038855994043,0.0384746166779603,-49.9516172813538,105.867788354765,0.000724644694719462,-0.00210047618945553,"-1"
"725",14353,-0.309061512308264,-9.23788656240888,-0.0497502087668559,-1.5593832727135,-68.3556195916856,44.8175360767471,-0.0949396471680584,-55.499145968603,101.026907892704,-0.000579645355307452,-0.00329394991939142,"-1"
"726",14056,-0.444353118575046,-10.0443752797248,-0.0659237811974824,-1.30606394337232,-118.062759857496,41.4537843959003,-0.0985972044467856,-60.98868217603,97.5721685453325,-0.00239861658027339,-0.0049996260957126,"-1"
"727",14048,-0.407541664441148,-10.8770187824569,-0.0611245317812895,-1.07542410438408,-117.916304984154,41.3659747854139,-0.00159703332275626,-66.693717168711,95.4410330094193,-0.001942781792968,-0.0046002240046111,"-1"
"728",13907,-0.443601432506815,-11.9992572664156,-0.0641711110767299,-0.992635379043435,-139.769997635257,39.8055600950133,0.0121192444299827,-72.3223200663647,94.7287427630342,-0.00203454073137344,-0.00509680296202617,"-1"
"729",13570,-0.590860161835045,-13.5055974223993,-0.0788701607330951,-1.11975245162485,-165.441239739111,36.3631808068149,-0.0576908668694903,-77.8656397477017,89.3219428580219,-0.00315223670825992,-0.00701552607216844,"-1"
"730",13812,-0.389992365649761,-15.284479654054,-0.0519206496048126,-1.07220634674309,-167.433441843502,40.2586921305154,0.141058976626781,-72.1358699601318,94.1124206447701,-0.000497727273729226,-0.00466224887472647,"-1"
"731",13916,-0.295827448111005,-16.4072304624574,-0.0319450280985143,-0.866242315654228,-119.912258226915,41.8645399747678,0.124729219909944,-66.4736169113805,97.5070655495739,0.000490887810866547,-0.00342362280407234,"-1"
"732",14078,-0.181113546894071,-17.0639353697602,-0.00949430659328946,-0.536802731604064,-86.5269639124089,44.3127918002678,0.124167689363573,-60.9710509622672,102.730083342052,0.00167136334605082,-0.00173470106473188,"-1"
"733",13811,-0.352456732895939,-17.5441609444602,-0.0218838526912181,-0.286577231297598,-86.8585037852518,41.3027050280648,-0.0516510293271549,-66.4358250030858,97.2653093012337,-0.000191986631004637,-0.0033213363454785,"-1"
"734",14169,-0.0695262547965179,-17.5997123278693,0.0604745153805853,0.00153217526241489,-46.8278114129827,46.4261688274364,0.117371972507946,-60.6919092452552,101.63686390521,0.00157912584633693,-0.000576521557717721,"-1"
"735",13791,-0.329036348239498,-17.748710192386,0.0321832198188758,0.0393907799283162,-68.6626477115942,42.3298789415721,-0.0940898345153655,-66.3645252676413,96.2914429155717,-0.00122419437946829,-0.00317551199614268,"-1"
"736",13762,-0.316611085915083,-18.2642965306764,0.0273215885338907,0.0316155063460339,-91.1869565425449,42.0311381794851,-0.103073286052009,-71.9669604358752,95.0646164254044,-0.00121222169018195,-0.00309838684762973,"-1"
"737",14092,-0.0541054298334936,-18.1447057866976,0.0493238815750283,0.194085116586335,-52.0745968429302,46.5391836251582,0.149172576832152,-66.501489395906,100.530087465374,0.00125247820001061,-0.000352714425528271,"-1"
"738",14068,-0.0514897960282515,-17.4429702981124,0.0450267778826337,0.495993359227449,-9.42663458026243,46.264440126775,0.0666666666666676,-71.950812655603,95.6865519876507,0.00069613045789774,-0.000305117604899252,"-1"
"739",13738,-0.319299270979149,-17.757340716082,0.0169904594124778,0.544231364803722,-68.432207195071,42.6309369968728,-0.0968837309262832,-77.5075553922164,90.5140667901499,-0.00113358064347676,-0.00249368286742191,"-1"
"740",13956,-0.0971653051225652,-18.1691311630527,0.0297871191506066,0.558015053679663,-61.7754188781347,45.5947505938047,0.142485446509499,-71.795290051325,96.2263321310413,0.000261582482648669,-0.000657135205541229,"-1"
"741",13810,-0.216127365260647,-18.4463256889469,0.0159254869819054,0.715850021430873,-62.896190753125,43.9963862003472,0.00381214374021477,-77.3203464609997,94.0731427500546,-0.000916708203455008,-0.0015748698782882,"-1"
"742",13910,-0.0977872019532835,-18.7037206058486,0.0203748067122789,0.795272634846246,-53.0264588619064,45.3735957003293,0.0308136080023779,-71.9740368594746,99.4194523515798,0.000108646790212614,-0.000641548408712182,"-1"
"743",13704,-0.305959754012097,-18.0139003616164,0.00258614459190263,0.819188312198802,-55.0260734494617,43.0820083425088,-0.118451025056947,-77.3027384758285,94.0907507352259,-0.000917148323357615,-0.00189170426481083,"-1"
"744",13754,-0.249516934462541,-17.5992836924697,-0.0340613807149378,0.715500359860807,-90.5645633912874,43.8053118468735,-0.20818962640606,-71.8627512173117,95.2196408601286,-0.000562233042548829,-0.00121704581579801,"-1"
"745",13743,-0.288529198001513,-17.3312885915841,-0.0348339068754828,0.700479916239191,-97.9888923384735,43.6770974625318,-0.0511631393700167,-77.3481101689147,96.2629884029944,-0.00031196171798179,-0.00107448949079655,"-1"
"746",13823,-0.111068930896868,-17.0381136826998,-0.0274861963967108,0.495153524637175,-64.7440033263068,44.9084476636506,0.0911686957524132,-71.9352241038158,100.087455873667,0.000278047291670753,-0.000379652901760079,"-1"
"747",13838,-0.0565915442534305,-16.480908978181,-0.0247630959417742,0.501137200708803,-35.3594132029323,45.1445535871282,0.0579252238020019,-66.5316812521387,101.413909333833,0.000498590127571957,-0.000185278009235402,"-1"
"748",14047,0.404234200839796,15.4285441088502,-0.00840304741107867,0.602305406829207,92.686156312072,48.3810516502741,0.228014744602423,-61.0996030502942,105.832901386379,0.00155415101898219,0.00133543790091678,"-1"
"749",14036,0.333482850252521,14.7847893422475,-0.00761023329823686,0.552320283162536,129.814217376797,48.2238153329832,0.0984728804634027,-66.6756666858095,102.895564397868,0.00104023025316218,0.00107516125019679,"-1"
"750",13919,0.0492357288258968,13.7710021045011,-0.0158382238563247,0.501486509809989,67.0020984357137,46.5347838836509,-0.129015271195365,-72.2748584178012,97.4114363966843,-0.000104713808402682,0.000155888445664581,"-1"
